danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track.name,track.popularity
0.852,0.93,1,-7.02,1,0.209,0.0127,0.494,0.0573,0.236,129.028,271642,4,()vȯ)) ̷̨ʅ(۝ʅ(Ɵʅ():::()̵̳̗̊(Ɵʅ()vȯ)) ̷̨ʅ,44
0.743,0.679,10,-8.295,0,0.286,0.0757,0,0.347,0.618,147.752,278084,4,Meditate (feat. J.I.D.),54
0.705,0.351,7,-10.655,0,0.0541,0.253,0.678,0.107,0.175,70.023,173493,4,Our Time,35
0.604,0.845,6,-4.953,1,0.502,0.0231,0.00486,0.1,0.153,85.106,205796,4,Cake,37
0.628,0.872,7,-9.143,1,0.087,0.003,0.946,0.124,0.52,173.02,235840,4,Orange,43
0.735,0.569,6,-10.223,0,0.0319,0.363,0.315,0.105,0.235,120.006,320052,4,Wicked Game,44
0.784,0.91,1,-2.698,1,0.0824,0.00735,0.581,0.28,0.596,125.025,203520,4,ON FIRE,45
0.439,0.153,1,-8.95,1,0.0479,0.874,0,0.107,0.104,116.76,287693,3,Jealous,72
0.494,0.428,0,-7.239,0,0.205,0.236,0.0698,0.0816,0.44,87.724,157497,4,Mount Everest,79
0.574,0.664,11,-6.068,1,0.0409,0.0448,0.0553,0.146,0.226,144.654,91870,4,Formula,80
0.615,0.784,2,-5.446,1,0.139,0.00362,1.75e-5,0.133,0.405,115.205,183688,4,Stressed,56
0.736,0.559,7,-9.225,0,0.293,0.559,9.6e-4,0.0886,0.0354,150.049,179200,4,To Whom It May Concern,63
0.368,0.259,2,-15.208,1,0.0327,0.942,0.871,0.126,0.183,139.333,128783,4,The Forsaken Waltz,32
0.784,0.606,10,-14.039,0,0.162,0.0668,0.839,0.0752,0.923,139.991,277147,4,Dutch Flowerz,28
0.64,0.649,2,-10.345,1,0.0264,0.216,8.3e-5,0.0551,0.865,124.825,221053,4,Little Lies - 2017 Remaster,69
0.4,0.65,5,-6.104,0,0.0466,0.0118,7.62e-5,0.791,0.15,107.989,592920,4,Pyramids,70
0.453,0.782,8,-1.545,1,0.0382,7.02e-4,0.0443,0.238,0.411,122.022,198893,4,Wasted Nun,34
0.537,0.893,0,-5.459,1,0.0893,0.00252,0.0211,0.0636,0.499,183.78,227213,4,Plastic Beach (feat. Mick Jones and Paul Simonon),63
0.734,0.907,2,-2.327,1,0.303,0.0967,2.55e-6,0.605,0.487,144.99,244966,4,Blastin,34
